1	1:180.976013919	2:90.4880069597
1	1:180.835577282	2:90.4177886408
1	1:180.999420026	2:90.4997100128
1	1:181.022826132	2:90.511413066
1	1:180.624922325	2:90.3124611624
1	1:181.046232238	2:90.5231161191
1	1:180.999420026	2:90.4997100128
1	1:180.999420026	2:90.4997100128
1	1:181.959070384	2:90.979535192
1	1:181.397323833	2:90.6986619164
1	1:181.093044451	2:90.5465222254
1	1:180.788765069	2:90.3943825345
1	1:181.467542152	2:90.7337710759
1	1:181.022826132	2:90.511413066
1	1:183.527279506	2:91.7636397531
1	1:180.976013919	2:90.4880069597
1	1:181.046232238	2:90.5231161191
1	1:181.022826132	2:90.511413066
1	1:180.999420026	2:90.4997100128
1	1:180.976013919	2:90.4880069597
1	1:180.999420026	2:90.4997100128
1	1:181.069638345	2:90.5348191723
1	1:181.467542152	2:90.7337710759
1	1:180.952607813	2:90.4763039065
1	1:180.976013919	2:90.4880069597
1	1:182.450598616	2:91.2252993082
1	1:181.912258171	2:90.9561290857
1	1:180.999420026	2:90.4997100128
1	1:181.444136045	2:90.7220680227
1	1:181.327105514	2:90.6635527569
1	1:184.13583827	2:92.067919135
1	1:181.093044451	2:90.5465222254
1	1:181.327105514	2:90.6635527569
1	1:181.280293301	2:90.6401466506
1	1:180.976013919	2:90.4880069597
1	1:180.999420026	2:90.4997100128
1	1:180.882389494	2:90.4411947471
1	1:181.046232238	2:90.5231161191
1	1:181.022826132	2:90.511413066
1	1:181.16326277	2:90.5816313849
1	1:180.999420026	2:90.4997100128
1	1:180.999420026	2:90.4997100128
1	1:180.999420026	2:90.4997100128
1	1:180.999420026	2:90.4997100128
1	1:180.999420026	2:90.4997100128
1	1:182.029288703	2:91.0146443515
1	1:181.490948258	2:90.745474129
1	1:180.882389494	2:90.4411947471
1	1:181.046232238	2:90.5231161191
1	1:181.467542152	2:90.7337710759
1	1:181.467542152	2:90.7337710759
1	1:180.999420026	2:90.4997100128
1	1:180.929201707	2:90.4646008534
1	1:180.999420026	2:90.4997100128
1	1:180.882389494	2:90.4411947471
1	1:181.022826132	2:90.511413066
1	1:180.976013919	2:90.4880069597
1	1:181.514354364	2:90.7571771822
1	1:180.999420026	2:90.4997100128
1	1:181.397323833	2:90.6986619164
1	1:180.976013919	2:90.4880069597
1	1:181.046232238	2:90.5231161191
1	1:181.139856663	2:90.5699283317
1	1:180.999420026	2:90.4997100128
1	1:181.022826132	2:90.511413066
1	1:180.999420026	2:90.4997100128
1	1:180.999420026	2:90.4997100128
1	1:180.999420026	2:90.4997100128
1	1:180.952607813	2:90.4763039065
1	1:180.999420026	2:90.4997100128
1	1:179.548241435	2:89.7741207175
1	1:180.999420026	2:90.4997100128
1	1:181.022826132	2:90.511413066
1	1:181.022826132	2:90.511413066
1	1:181.022826132	2:90.511413066
1	1:181.280293301	2:90.6401466506
1	1:181.093044451	2:90.5465222254
1	1:180.9057956	2:90.4528978002
1	1:180.999420026	2:90.4997100128
1	1:181.022826132	2:90.511413066
1	1:180.976013919	2:90.4880069597
1	1:180.952607813	2:90.4763039065
1	1:181.069638345	2:90.5348191723
1	1:180.976013919	2:90.4880069597
1	1:181.022826132	2:90.511413066
1	1:180.999420026	2:90.4997100128
1	1:180.999420026	2:90.4997100128
1	1:180.999420026	2:90.4997100128
1	1:181.022826132	2:90.511413066
1	1:180.999420026	2:90.4997100128
1	1:180.999420026	2:90.4997100128
1	1:180.999420026	2:90.4997100128
1	1:181.022826132	2:90.511413066
1	1:180.999420026	2:90.4997100128
1	1:181.022826132	2:90.511413066
1	1:180.976013919	2:90.4880069597
1	1:180.999420026	2:90.4997100128
1	1:180.999420026	2:90.4997100128
1	1:181.116450557	2:90.5582252786
1	1:180.976013919	2:90.4880069597
1	1:181.514354364	2:90.7571771822
1	1:181.046232238	2:90.5231161191
1	1:181.022826132	2:90.511413066
1	1:180.999420026	2:90.4997100128
1	1:180.976013919	2:90.4880069597
1	1:181.022826132	2:90.511413066
1	1:180.976013919	2:90.4880069597
1	1:181.022826132	2:90.511413066
1	1:181.233481089	2:90.6167405443
1	1:185.095488628	2:92.5477443142
1	1:183.808152782	2:91.9040763909
1	1:180.952607813	2:90.4763039065
1	1:182.42719251	2:91.213596255
1	1:181.444136045	2:90.7220680227
1	1:184.393305439	2:92.1966527197
1	1:181.116450557	2:90.5582252786
1	1:181.327105514	2:90.6635527569
1	1:181.280293301	2:90.6401466506
1	1:181.022826132	2:90.511413066
1	1:173.228592734	2:86.6142963669
1	1:181.210074982	2:90.6050374912
1	1:180.882389494	2:90.4411947471
1	1:182.474004723	2:91.2370023613
1	1:180.9057956	2:90.4528978002
1	1:181.514354364	2:90.7571771822
1	1:180.858983388	2:90.4294916939
1	1:181.116450557	2:90.5582252786
1	1:180.578110112	2:90.2890550561
1	1:180.999420026	2:90.4997100128
1	1:181.654791002	2:90.8273955011
1	1:180.648328431	2:90.3241642156
1	1:180.929201707	2:90.4646008534
1	1:180.952607813	2:90.4763039065
1	1:180.999420026	2:90.4997100128
1	1:180.999420026	2:90.4997100128
1	1:180.858983388	2:90.4294916939
1	1:181.022826132	2:90.511413066
1	1:180.976013919	2:90.4880069597
1	1:181.420729939	2:90.7103649696
1	1:181.022826132	2:90.511413066
1	1:181.022826132	2:90.511413066
1	1:181.210074982	2:90.6050374912
1	1:181.186668876	2:90.593334438
1	1:180.812171175	2:90.4060855876
1	1:180.812171175	2:90.4060855876
1	1:180.999420026	2:90.4997100128
1	1:181.093044451	2:90.5465222254
